CPUID:,0x870F10
Processor:,AMD Ryzen 5 3600 6-Core (Matisse) 
Platform:,Socket AM4 (1331 pin)
Revision:,MTS-B0
Lithography:,7nm

Session start:,11:57:11 - May 18 - 2022

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
12:05:11 05/18/22,67,67,67,67,67,67,,,46,75,8,4191.15,,46,75,5,4191.15,,46,75,5,3352.92,,46,75,6,3352.92,,46,75,3,3352.92,,46,75,11,4191.15,24.5,
12:05:16 05/18/22,60,60,60,60,60,60,,,46,75,1,3592.41,,46,75,0,3352.92,,46,75,1,3352.92,,46,75,0,3352.92,,46,75,2,4191.15,,46,75,2,4191.15,19.2,
12:05:21 05/18/22,52,52,52,52,52,52,,,46,75,0,3592.41,,46,75,0,3592.41,,46,75,2,3592.41,,46,75,0,3592.41,,46,75,0,3592.41,,46,75,2,4191.15,19.4,
12:05:26 05/18/22,47,47,47,47,47,47,,,46,75,0,3367.89,,46,75,1,3367.89,,46,75,1,3367.89,,46,75,0,3367.89,,46,75,0,3367.89,,46,75,2,3367.89,18.7,
12:05:31 05/18/22,55,55,55,55,55,55,,,46,75,1,3018.62,,46,75,1,3018.62,,46,75,1,3018.62,,46,75,0,3018.62,,46,75,1,3018.62,,46,75,2,3018.62,19.0,
12:05:36 05/18/22,57,57,57,57,57,57,,,46,75,0,3367.89,,46,75,1,3367.89,,46,75,0,3367.89,,46,75,0,3367.89,,46,75,0,3367.89,,46,75,0,3367.89,18.2,
12:05:41 05/18/22,62,62,62,62,62,62,,,46,75,1,3018.62,,46,75,0,3018.62,,46,75,1,3018.62,,46,75,0,3018.62,,46,75,0,3018.62,,46,75,3,3018.62,19.8,
12:05:46 05/18/22,54,54,54,54,54,54,,,46,75,1,3193.25,,46,75,1,3193.25,,46,75,1,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,1,3193.25,19.1,
12:05:51 05/18/22,64,64,64,64,64,64,,,46,75,1,3367.89,,46,75,1,3367.89,,46,75,2,3367.89,,46,75,1,3367.89,,46,75,0,3367.89,,46,75,3,3367.89,20.0,
12:05:56 05/18/22,56,56,56,56,56,56,,,46,75,1,3193.25,,46,75,2,3193.25,,46,75,1,3193.25,,46,75,0,3193.25,,46,75,1,3193.25,,46,75,2,3193.25,20.0,
